"No.","Ticker","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Volatility (Week)","Volatility (Month)","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume"
165,"RWLK",4.41%,23.48%,25.66%,-12.88%,-37.44%,-34.26%,7.38%,10.08%,2.00,1223.21,0.42,1.44,1.41%,507974
166,"SACH",-0.72%,-0.24%,5.90%,38.13%,-4.62%,-4.84%,3.52%,2.73%,1.50,60.01,0.68,4.06,-1.77%,40846
167,"SALM",-1.92%,0.99%,9.17%,-19.69%,-32.89%,-29.17%,3.89%,6.06%,1.50,912.13,0.16,1.02,0.00%,148757
168,"SDPI",-3.53%,8.13%,40.57%,-42.12%,-43.23%,-40.00%,7.90%,11.18%,3.00,609.74,0.11,0.50,1.63%,65920
169,"SEAC",-6.61%,-10.27%,-13.33%,-47.76%,-79.77%,-80.30%,9.44%,11.58%,2.50,315.88,1.00,0.79,-4.37%,316085
170,"SINT",-3.80%,12.03%,-10.15%,24.65%,21.23%,18.79%,4.95%,8.61%,2.00,1565.83,0.49,1.77,0.00%,760079
171,"SLGG",24.89%,46.81%,38.69%,8.24%,10.40%,16.95%,10.18%,9.46%,1.50,415.63,6.85,3.40,23.19%,2845661
172,"SLRX",-5.33%,17.69%,0.21%,-40.12%,-79.75%,-78.14%,6.27%,14.80%,1.50,571.20,0.46,0.83,0.44%,262418
173,"SND",-8.29%,9.30%,53.47%,60.68%,-21.50%,-25.40%,6.34%,7.91%,3.00,339.77,0.37,1.87,-0.53%,124595
174,"SNGX",18.61%,13.22%,40.51%,52.22%,98.55%,88.97%,8.76%,8.79%,2.20,543.28,24.94,1.39,-49.27%,13547510
175,"SNSS",-0.54%,41.86%,35.56%,-48.33%,-37.97%,-45.81%,4.06%,7.60%,3.00,945.63,1.02,1.84,0.55%,966410
176,"SOHO",-1.44%,28.17%,45.21%,-7.77%,-58.45%,-59.73%,5.22%,8.39%,2.00,254.20,0.78,2.63,-3.66%,198036
177,"SONM",-4.43%,4.35%,-27.46%,-32.35%,-79.80%,-83.41%,3.81%,6.67%,2.30,911.16,0.65,0.61,1.89%,595643
178,"SONN",-11.32%,-5.24%,-9.27%,-39.12%,-84.14%,-84.68%,6.49%,7.60%,2.00,706.29,0.58,2.31,-1.70%,411045
